训练位置,测试位置,直接处理CSI,,,平均,CCFE,,,平均,,
1,2,0.7000,0.4867,0.6400,0.6089,0.3533,0.2667,0.3333,0.3178,,位置1：中间；
1,3,0.4400,0.5200,0.5933,0.5178,0.3333,0.6400,0.3600,0.4444,,位置2：右下；
1,4,0.5400,0.5800,0.4200,0.5133,0.4200,0.3600,0.3933,0.3911,,位置3：左下；
1,5,0.6067,0.6067,0.5600,0.5911,0.4867,0.3800,0.3333,0.4000,,位置4：左上；
2,1,0.6600,0.6733,0.5600,0.6311,0.3733,0.3667,0.3667,0.3689,,位置5：右上；
2,3,0.9533,0.9200,0.9533,0.9422,0.9000,0.8200,0.8800,0.8667,,
2,4,0.7467,0.7800,0.6933,0.7400,0.6867,0.6600,0.6800,0.6756,,
2,5,0.8800,0.9267,0.9800,0.9289,0.9533,0.9867,0.9933,0.9778,,
3,1,0.6800,0.6667,0.7867,0.7111,0.8400,0.7533,0.6867,0.7600,,
3,2,0.9000,0.9200,0.9400,0.9200,0.9600,0.9733,0.9867,0.9733,,
3,4,0.7333,0.7333,0.8400,0.7689,0.8933,0.9600,0.8467,0.9000,,
3,5,0.8267,0.8600,0.8400,0.8422,0.9867,0.9733,0.9400,0.9667,,
4,1,0.8333,0.6467,0.9533,0.8111,0.7867,0.6600,0.6667,0.7045,,
4,2,0.6200,0.5067,0.5200,0.5489,0.5600,0.7000,0.6267,0.6289,,
4,3,0.6067,0.5733,0.6667,0.6156,0.7267,0.9800,0.8933,0.8667,,
4,5,0.8533,0.6533,0.7733,0.7600,0.9600,0.9867,0.8800,0.9422,,
5,1,0.9333,0.8333,0.9733,0.9133,0.4067,0.6467,0.5600,0.5378,,
5,2,0.9800,0.8267,1.0000,0.9356,0.8867,0.9467,0.9667,0.9334,,
5,3,0.9267,0.9133,0.9800,0.9400,0.8800,0.7867,0.8533,0.8400,,
5,4,0.6067,0.6333,0.8067,0.6822,0.8733,0.9933,0.9400,0.9355,,
"1,2","3,4",0.8267,,,,,,,,,
"1,2","3,4,5",0.8178,,,,,,,,,
"1,2,3","4,5",0.8900,,,,,,,,,
"1,2,5","3,4",0.8600,0.8533,,,,,,,,
